document_id,clean_text,sentiment
60,consid problem measur much system reveal secret input work blackbox set assum prior knowledg system intern run system choic secret measur leakag respect output goal estim bay risk one deriv popular leakag measur eg minentropi leakag stateoftheart method estim leakag measur frequentist paradigm approxim system intern look frequenc input output unfortun scale system larg output space would requir mani inputoutput exampl consequ also cannot appli system continu output eg time side channel network traffic paper exploit analog machin learn ml blackbox leakag estim show bay risk system estim use class ml method univers consist learn rule rule exploit pattern inputoutput exampl improv estim converg retain formal optim guarante focu set nearest neighbor rule show significantli reduc number blackbox queri requir precis estim whenev nearbi output tend produc secret furthermor tackl system continu output illustr applic techniqu synthet realworld data compar stateoftheart tool leakiest base frequentist approach,Negative
61,paper adopt stateoftheart machin learn algorithm name random forest rf least squar boost model crash data identifi optimum model studi impact narrow lane safeti arteri road use tenyear crash dataset four citi nebraska two machin learn model assess base predict error rf model identifi best model rf use comput import lane width predictor regress model base two differ measur subsequ rf model use simul crash rate differ lane width kruskalw test conduct determin simul valu four lane width group equal mean test null hypothesi equal mean simul valu four lane width group reject consequ conclud crash rate least one lane width group statist differ other final result pairwis comparison use tukey kramer test show chang crash rate two lane width condit statist signific,Negative
62,extrem learn machin need larg number hidden node gener singl hidden layer neural network given train dataset need number hidden node suggest neuralnetwork memor rather gener model henc supervis learn method describ use moorepenros approxim determin inputweight outputweight two epoch name backwardpass forwardpass propos techniqu advantag backpropag method term iter requir superior extrem learn machin term number hidden unit necessari gener,Positive
63,imag recognit occupi special place scienc comput vision contour analysi particular import pattern recognit paper consid structur contour analysi extern imag activ contour method show possibl use minimum energi curv energi function defin boundari without first isol boundari imag object therefor canni boundari detector algorithm use detect contour object imag algorithm smooth imag blur elimin nois elimin error interfer pictur path track method cross boundari subject background algorithm machin learn need order reflect perform need recognit cluster use machin learn method find nearest neighbor criterion mathemat model cluster uniqu applic identifi border contour imag contour detect link approach use graph analysi work lose effici presenc nois convex defect contour analysi algorithm abl determin size border also use search contour recess introduct key featur calcul object paramet,Positive
64,paper summar first attempt use ensembl techniqu predict soccer game chose repres game convert differ team statist valu convers done use toler valu zeroout differ use genet algorithm find toler valu toler vector produc genet algorithm use creat game represent variou machin learn algorithm train creat ensembl techniqu approach accuraci predict woman euro accuraci predict men euro,Negative
65,background hypothes link lowdens lipoprotein ldl oncogenesi garner signific interest yet explicit impact lung adenocarcinoma luad remain elucid investig aim demystifi function ldlrelat gene lrg within luad endeavor shed light complex interplay ldl carcinogenesi method leverag singlecel transcriptom examin role lrg within tumor microenviron tme express pattern lrg across diver cellular phenotyp delin use array comput methodolog includ aucel ucel singscor ssgsea addmodulescor cellchat facilit explor distinct cellular interact within ldl_low ldl_high group findmark util coupl pearson correl analysi facilit identif pivot gene correl ldl indic integr approach transcriptom data analysi adopt util machin learn framework devi ldlassoci signatur la enabl delin genom dispar pathway enrich immun cell dynam pharmacolog sensit la stratif result enhanc cellular crosstalk observ ldl_high group coxboostridg algorithm achiev apex cindex la formul benchmark extant luad model underscor superior prognost acuiti la elev la indic synonym advers outcom diminish immun surveil upsurg pathway conduc neoplast prolifer notabl pronounc suscept paclitaxel gemcitabin discern within highla cohort delin prospect therapeut corridor conclus studi elucid signific lrg within tme introduc la prognost luad patient find accentu put therapeut target elucid clinic ramif la deploy,Positive
66,essenc digit intellig era round econom social chang driven digit inform technolog human be move tradit industri economi era platform economi intellig algorithm societi digit intellig enterprisesinternet platform enterpris artifici intellig enterprisesdriven digit inform technolog becom micro organ lead new econom form evolv continu driven artifici intellig technolog product servic base algorithm embed becom import applic scenario intellig product intellig decisionmak base machin learn intellig data mine algorithm distribut intellig technolog provid technic organiz support automat product automat decisionmak automat sale kind organ intellig robot becom new behavior subject differ tradit moral subject legal subject supervis control intellig robot independ analysi reason decisionmak becom extrem urgent howev digit intellig technolog digit societi reshap product effici social product also caus seri promin social problem promin problem lack alien social respons platform enterpris digit economi leakag individu privaci caus applic intellig algorithm ambigu subject enterpris ethic respons intensif social inequ social contradict deriv data monopoli algorithm discrimin seri new social problem need paid attent digit intellig era believ digit intellig era corpor social respons face allround innov reflect fact intellig robot becom new subject csr manag practic platform enterpris artifici intellig enterprisesdigit intellig enterpriseshav becom new organiz carrier csr practic platform busi ecosystem becom practic paradigm corpor social respons algorithm govern becom new focu corpor social respons govern furthermor base fact algorithm govern becom key content corpor social respons govern digit intellig era paper studi three basic paradigm algorithm govern perspect corpor social respons govern name individu empower govern base algorithm design develop traction govern base digit intellig platform enterpris collabor govern base stakeholdersgovern ai associ applic algorithm enterpris reshap new logic algorithm govern realiz sustain comprehens valu digit intellig era,Negative
67,scientif articl modern type machin vision examin wide use process inspect vehicl variou stage product oper machin vision serv import tool enhanc qualiti safeti vehicl well optim product process articl discus key technolog light technolog provid necessari illumin accur imag analysi well imag process allow extract use inform visual data addit special attent given machin learn algorithm enabl machin vision system adapt improv accuraci time stereovis method also consid context creat threedimension model object significantli increas accuraci defect detect articl emphas autom qualiti control method includ use highresolut camera capabl detect defect damag discrep design finish vehicl technolog play crucial role ensur high standard qualiti reliabl vehicl turn contribut increas consum trust manufactur,Positive
68,reaction databas provid great deal use inform assist plan experi provid interpret chemic concept accompani inform work reaction label experiment condit network analysi show consist within cluster data point leverag organ inform particular analysi show particular experiment condit specif solvent effect enabl specif organ reaction friedelcraft aldol addit claisen condens dielsald wittig includ variat within reaction class exampl network analysi shown graphic abstract data point claisen condens reaction break cluster depend catalyst chemic structur type cluster mimic chemist reason deriv directli network therefor find work could augment synthesi plan provid predict fashion mimic human chemist numer evalu solvent predict abil three method compar network analysi knearest neighbor algorithm support vector machin deep neural network accur method test case network analysi deep neural network also show good predict score network analysi tool evalu expert panel chemist gener agre algorithm produc accur solvent choic simultan transpar underli reason predict,Positive
69,implicit model allow gener sampl pointwis evalu probabl omnipres realworld problem tackl machin learn hot topic current research exampl includ data simul wide use engin scientif research gener adversari network gan imag synthesi hotoffthepress approxim infer techniqu reli implicit distribut major exist approach learn implicit model reli approxim intract distribut optimis object gradientbas optimis liabl produc inaccur updat thu poor model paper allevi need approxim propos stein gradient estim directli estim score function implicitli defin distribut efficaci propos estim empir demonstr exampl includ metalearn approxim infer entropi regularis gan provid improv sampl diver,Negative
70,huge databas use organ store data databas contain hidden pattern discov use organ project appli data mine techniqu uncov pattern circul databas utm librari order discov worthwhil pattern follow knowledg discoveri process kdd transform row data suitabl format weka machin learn softwar appli data mine task project studi two associ rule mine algorithm apriori fpgrowth later use discov pattern among borrow book pattern present list use make recommend patron search certain topic base item previous borrow togeth addit novel rule matrix present store found rule futur use list recommend rule matrix use construct recommend system user utm librari,Negative
71,prior interrupt research focus identifi interrupt opportun moment user handl notif yet user may want attend notif even moment research shown user current practic select attend specul notif sourc yet sometim inform insuffici make specul difficult paper describ first research attempt examin well machin learn model predict moment user would incorrectli specul sender notif built machin learn model achiev recal precis fscore also show import featur predict moment,Negative
72,studi aim produc vocat high school natur scienc learn tool improv projectbas soft skill valid practic effect develop student soft skill method use research develop rd refer model suggest thiagarajan stage name defin design develop dissemin popul studi student class xi machin technolog group smk negeri kudu academ year n sampl studi student class xi expertis machin technolog n taken random sampl techniqu data collect use devic valid sheet implement observ sheet teacher respons questionnair student respons questionnair data valid practic devic develop learn tool improv projectbas soft skill analyz use righthand ttest,Negative
73,game theori studi strateg behavior ration decis maker awar decis aﬀect one anoth simpl univers principl found applic diver disciplin includ econom social scienc evolutionari biolog well logic system scienc comput scienc despit longstand tradit mani advanc game theori still young develop scienc paper describ recent excit applic ﬁeld machin learn privaci,Negative
74,thermal imag progress use nowaday investig wide rang muscl disord irregular caus increas decreas blood flow furthermor activ muscl tissu accur detect use electromyographi techniqu measur electr activ produc muscular contract relax combin smart materialbas actuat sensor versatil appropri integr multisensor feedback unit human interact develop research present novel approach investig muscl activ level local use surfac temperatur base lowcost surfac electromyographi thermal sensor incorpor multimod dielectr elastom actuat feedback capabl implement deep learn algorithm make predict muscl activ local purpos optim graphic user interfac develop make predict forecast go deep learn model exhibit high evalu score across accuraci metric accuraci test set studi explor potenti applic approach field biomechan rehabilit humanmachin interfac,Negative
75,comput trust model machin learn provid detail introduct concept trust applic variou comput scienc area includ multiag system onlin social network commun system identifi trust model challeng cannot address tradit approach book explain reputationbas system use determin trust diver onlin commun describ machin learn techniqu employ build robust reput system explor two distinct approach determin credibl resourceson human role implicit one leverag human input explicitli show decis support facilit comput trust model discus collabor filteringbas trust awar recommend system defin framework translat trust model problem learn problem investig object human feedback emphas need filter outli opinion comput trust model machin learn effect demonstr novel machin learn techniqu improv accuraci trust assess,Positive
76,propos machin learn framework captur dynam highfrequ limit order book financi equiti market autom realtim predict metric midpric movement price spread cross character entri limit order book vector attribut price volum differ level propos framework build learn model metric help multiclass support vector machin experi real data establish featur select propos framework effect shortterm price movement forecast,Positive
77,research background intern trade substanti constitu global region econom develop analysi mutual trade serv tool monetari express econom transact particular countri foreign partner specif period czech republ cr peopl republ china prc biggest export second biggest import usa howev impos number econom sanction prc signific impact trade countri overal growth chine economi yet affect behavior consum produc usa prc purpos articl aim paper use machin learn predict futur valu mutual trade cr prc one calendar year ie month method monthli data two state import export use predict bilater trade flow time seri begin januari end april thu time seri contain data line artifici intellig artifici neural network use predict bilater trade flow prc cr develop trade compar mutual sanction prc usa find valu ad expect mutual trade balanc neg perspect cr covid sanction impos intern trade significantli affect develop mutual trade cr prc,Positive
78,spatiotempor proteom intervertebr disc ivd underpin integr function present dipper deep comprehens ivd proteom resourc compris genomewid profil individu begin protein modul defin key direct trend span later anteroposterior axe deriv highresolut spatial proteom intact young cadaver lumbar ivd reveal novel regionspecif profil regulatori activ display potenti path deconstruct leveland locationmatch age cadaver disc machin learn method predict hydrat matrisom connect extracellular matrix mri intens importantli static proteom use pointrefer integr dynam proteom silacdegradom transcriptom data multipl clinic sampl enhanc robust clinic relev data find methodolog avail web interfac httpwwwsbmshkuhkdclab dipper valuabl refer field ivd biolog proteom analyt introduct intervertebr disc ivd human spine provid stabil mobil flexibl ivd degener idd common lumbar region saleem et al teraguchi et al associ declin function major caus back pain affect world popul point life rubin present signific socioeconom burden multipl interact factor genet influenc age mechan stress factor contribut pathobiolog onset sever progress idd munir et al ivd larg avascular extracellular matrix ecmrich structur compris three compart hydrat nucleu pulposu np centr surround tough annulu fibrosu af peripheri cartilagin endplat adjoin vertebr bodi humzah soam earli adolesc np popul vacuol notochordallik cell gradual replac small chondrocytelik cell risbud et al blood vessel termin tam chen et al elif e doi httpsdoiorgelif tool resourc,Negative
79,expect calibr error ece employ bin wide adopt evalu calibr perform machin learn model theoret understand estim bia limit paper present first comprehens analysi estim bia two common bin strategi uniform mass uniform width bin analysi establish upper bound bia achiev improv converg rate moreov bound reveal first time optim number bin minim estim bia extend bia analysi gener error analysi base informationtheoret approach deriv upper bound enabl numer evalu small ece unknown data experi use deep learn model show bound nonvacu thank informationtheoret gener analysi approach,Negative
80,abstract object studi aim develop valid machin learn ml model predict probabl vagin deliveri partomet use data iter obtain labor electron health record studi design retrospect cohort studi deliveri academ tertiari care hospit conduct least two cervic examin popul divid deliv physician nullipar term singleton vertex ntsv cesarean deliveri rate partomet cohort remaind control cohort cesarean rate among popul lower risk patient standard metric compar provid rate healthi peopl goal supervis autom ml approach appli gener model popul primari outcom accuraci model develop partomet cohort hour admiss labor deliveri secondari outcom includ discrimin abil receiv oper characteristicsarea curv rocauc precisionrecal auc calibr partomet assess generaliz compar perform clinic predictor identifi partomet control model result deliveri studi period exclus deliveri includ partomet cohort control cohort accuraci predict vagin deliveri hour partomet rocauc clinic predictor greatest import stack intrapartum partomet model includ admiss model predict ongo measur dilat station mirror found control popul conclus use autom ml intrapartum factor improv accuraci predict probabl vagin deliveri previous publish model base logist regress har realtim data ml could repres bridg gener truli prescript tool augment clinic decisionmak predict labor outcom reduc matern neonat morbid key point mlbase model yield accur predict mode deliveri earli labor predictor model creat popul high low cesarean rate mlbase model may provid meaning guidanc clinician manag labor,Negative
81,replac campu comput system march new system two new featur servic run virtual machin vmware vsphere includ dn email web elearn remot access file server network boot server moreov servic provid one guest o load balanc easili maintain o imag servic still avail one guest o shutdown mainten cours load balanc also redund activestandbi univers member electr ident provid new system addit sever webbas system shibbol webbas singl sign system produc internet account manag servic elearn system network outlet thu system consist real server mount rack pc boot network boot server moreov user use system feder system integr ident servic ldap radiu activ directori shibboleth paper describ benefit problem featur point view total cost ownership tco,Positive
82,natur product play signific role cancer chemotherapi like provid mani lead structur use templat construct novel drug enhanc antitumor activ tradit research approach studi structureact relationship natur product obtain key structur properti chemic bond group purpos ascertain effect singl cell line singl tissu type first time develop machin learn method comprehens predict natur product respons panel cancer cell line base gene express chemic properti natur product result two dataset train set independ test set show propos method yield significantli better predict accuraci addit also demonstr predict power propos method model cancer cell sensit two natur product curcumin resveratrol indic method effect predict respons cancer cell line two natur product taken togeth method facilit identif natur product cancer therapi develop precis medicin link featur patient genom natur product sensit,Negative
83,evid paradigm shift steganalysi techniqu discoveri deep learn network steganalysi classif task done machin learn classifi ensembl prolifer deep learn convolut neural network mani area perform steganalysi techniqu jump anoth high applic convolut neural network tradit steganalysi techniqu consist two import step ie featur extract classif deep learn network learn featur automat elimin need extract handcraft featur featur cnn highli success imag recognit imag classif techniqu addit featur extract classif combin togeth deep learn henc classif would effect learn featur realli import classif steganalysi task detect subtl weak nois creat hidden data steganographi techniqu design deep cnn architectur custom steganalysi task base exist residu neural network frame introduc descriptor captur inter pixel depend act indic weightag particular featur map thu classifi give weightag effect featur map instead treat featur map equal also use gate mechan use sigmoid function nonlinear activ function sandwich two fulli connect layer enhanc exist deep residu neural network given better result term error detect rate compar deep learn base steganalysi techniqu,Negative
84,micro array databas increas dimens result complex identifi inform gene challeng task difficulti often relat huge number gene sampl research medic data mine address problem appli techniqu data mine machin learn micro array dataset paper unsupervis toler rough set base quick reduct utrsqr diver featur select algorithm extend exist equival rough set unsupervis learn propos gene select propos method lead consider improv class predict wide experi two gene express dataset brain tumor colon cancer result indic consist improv among classifi,Negative
85,sidl glenn daniel use multiclass machin learn method predict major leagu basebal pitch direct hien tran field machin learn applic grow need expand abil classifi predict beyond abl handl binari problem abil predict ye answer still valuabl world increas complex machin learn method employ multiclass problem set ever major leagu basebal provid rich detail data set pitchfx system track everi basebal pitch thrown everi stadium everi game pitch predict topic previou research mostli focus binari split fastbal pitch type extend binari problem multiclass one involv seven uniqu pitch type work done basebal pitch use templat expand wide varieti binari predict accommod simpl two class approach accomplish multiclass predict examin multipl machin learn method find effici accur algorithm dissert first explor result given three differ method linear discrimin analysi support vector machin bag random forest classif tree featur set creat categor continu data featur taken observ game use alongsid synthet featur gener histor data use method explor adapt featur select method novel approach use decis direct acycl graph allow use binari techniqu reduc featur set employ post process method determin measur variabl import find input inform model final implement predict method live game environ present result differ construct model discus difficulti associ time limit copyright glenn daniel sidl,Negative
86,paper introduc shapebas inflow scenario reduct framework appli longterm hydrotherm schedul schedul problem involv strateg manag limit store hydro energi coordin electr system scenario fan problem select longterm hydrotherm schedul approach effect repres individu hydropow plant shortterm flexibl within longterm schedul process make wellsuit captur disaggreg physic characterist hydro station howev comput burden scenario fan problem increas due complex cascad system larg number inflow scenario tackl challeng machin learn cluster method develop extract shapebas featur captur energi shape attribut hydro inflow compar analysi conduct evalu effect propos method compar four establish cluster method evalu carri hydrotherm test case util insampl outofsampl data analysi find demonstr propos framework outperform method term comput time optim reservoir trajectori consid kmean use euclidean distanc benchmark addit studi showcas feasibl perform longterm hydrotherm schedul granular level detail topolog inform shorter time scale expand approach open new possibl address integr renew energi resourc within realm longterm hydrotherm schedul,Negative
87,feder learn fl machin learn paradigm multipl client train local machin learn model collabor without share privat data one main challeng fl statist heterogen data distribut across client person fl pfl mitig statist heterogen collabor model train across homogen client paper propos novel person feder learn domainawar network prune regrowth call feddnpr accur compar exist pfl method maintain high effici achiev introduc regular term captur heterogen weight iter network prune order reduc network share among unrel client iter network regrow weight relat client increas network share among relat client feddnpr model cluster perform consid similar gradient updat last layer network cosin similar measur achiev accuraci effici model person extens experiment evalu show feddnpr significantli outperform stateoftheart pfl approach maintain compar effici,Positive
88,due extens spread fake news social news medium becam emerg research topic day gain attent news medium social medium inform spread highspe without accuraci henc detect mechan abl predict news fast enough tackl dissemin fake news potenti neg impact individu societi therefor detect fake news social medium import also technic challeng problem day knew machin learn help build artifici intellig system base tacit knowledg help u solv complex problem due real word data side knew knowledg engin help repres expert knowledg peopl awar knowledg due propos integr machin learn knowledg engin help detect fake news paper present fake news import fake news overal impact fake news differ area differ way detect fake news social medium exist detect algorithm help u overcom issu similar applic area end propos combin data driven engin knowledg combat fake news studi compar three differ modul text classifi stanc detect applic fact check exist techniqu help detect fake news furthermor investig impact fake news societi experiment evalu public avail dataset propos fake news detect combin serv better detect fake news,Negative
89,one import topic field wireless sensor network develop approach improv network lifetim paper energyeffici control rout protocol wireless sensor network present algorithm base reinforc learn energi manag network protocol seek optim rout polici maxim longterm reward receiv node use reinforc learn machin learn approach order improv lifetim wireless sensor network three energi manag approach propos first approach navig correctli use reinforc learn reduc length rout improv energi consumpt second approach exploit sleep schedul techniqu improv node energi consumpt last approach use restrict data transmiss node base receiv data chang rate simul result show term network lifespan propos method significantli outperform previou report method,Negative
90,background hepatocellular carcinoma hcc preval heterogen tumor limit treatment option unfavor prognosi crucial role disintegrin metalloproteas adam gene famili tumor microenviron hcc remain unclear method studi employ novel multiom integr strategi investig potenti role adam famili signal hcc seri singlecel spatial omic algorithm util uncov molecular characterist adam famili gene within hcc gsva packag util comput score adam famili signal subsequ stratifi three categori high medium low adam signal level unsupervis cluster furthermor develop rigor valid innov robust clinic prognosi assess model employ mainstream machin learn algorithm conjunct coexpress featur spectrum adam famili gene valid find conduct pcr ihc experi confirm differenti express pattern within adam famili gene result gene signal adam famili notabl abund endotheli cell liver cell monocyt macrophag singlecel sequenc spatial transcriptom analys reveal molecular heterogen adam gene famili emphas signific impact develop progress hcc hcc tissu express level adam adam adam adam markedli elev elev adam famili signal score link advers clinic outcom disrupt immun microenviron metabol reprogram adam prognosi signal develop util machin learn algorithm could accur forecast surviv durat hcc achiev auc valu approxim conclus studi repres inaugur report deleteri impact prognost signific adam famili signal within tumor microenviron hcc,Positive
91,although accelerometri data wide util estim physic activ sedentari behavior among child age year older toddler age year accelerometri data record behavior far less examin particular toddler uniqu behavior ride stroller carri adult yet examin object studi describ accelerometri signal output record particip nine type behavior ie run walk climb updown crawl ride rideon toy stand sit ride strollerwagon carri adult among toddler twentyfour toddler age month girl perform variou prescrib behavior free play commerci indoor playroom wear actigraph wgtxbt acceleromet hip wrist particip perform videorecord base video data acceleromet data annot behavior label examin accelerometri signal output perform nine type behavior acceleromet data collect behavior assess particip use analysi hip vertic axi count walk low median count significantli lower record toddler carri adult median count p stand sit ride stroller low hip vertic axi count regist median count although wrist vertic axi vector magnitud count carri higher walk higher cutpoint sedentari behavior use variou accelerometri signal featur machin learn techniqu show accuraci differenti carri behavior ambulatori movement run walk crawl climb conclus hip vertic axi count alon may unabl captur walk physic activ carri sedentari behavior among toddler machin learn techniqu util addit accelerometri signal featur could help recogn behavior type especi differenti carri ambulatori movement,Positive
92,emerg foundat machin learn interatom potenti fmlip model train extens dataset transfer data differ ml architectur becom increasingli import work examin extent train data optimis one machinelearn forcefield algorithm may reus train differ model aim acceler fmlip finetun reduc need costli iter train test case train model organ liquid mixtur commonli use solvent recharg batteri electrolyt make import target reactiv mlip develop assess model perform analys properti molecular dynam trajectori show stringent test compar predict error fix dataset consid sever type train data sever popular mlip notabl recent mace architectur messagepass neural network design high effici smooth demonstr simpl train set construct without ab initio dynam suffici produc stabl model molecular liquid simpl neuralnetwork architectur iter train requir captur thermodynam kinet properti correctli mace perform well extrem limit datset find configur design human intuit correct systemat model defici transfer effect algorithm activelearn data gener one mlip typic benefit differ algorithm final show train data improv model perform also improv abil generalis similar unseen molecul suggest trajectori failur mode connect chemic structur rather entir systemspecif,Positive
93,one signific graph data analysi task graph classif graph complex data structur use illustr relationship entiti pair graph essenti mani domain descript chemic molecul biolog network social relationship etc realworld graph complic larg result need find way repres encod graph structur easili util machin learn model therefor graph embed consid one power solut graph represent inspir docvec model natur languag process nlp paper first investig differ way subgraph embed repres graph subgraph fixedlength featur vector use input classifi thu two supervis classifiersa deep neural network dnn convolut neural network cnnare propos enhanc graph classif experiment result five benchmark dataset indic propos model obtain competit result superior tradit classif method deeplearningbas approach three five benchmark dataset impress accuraci rate nci dataset,Positive
94,exist work interact content base retriev concentr machin learn method effect use relev feedback end spectrum inform visual commun focus effect method convey inform user lack research consid inform visual interact content base retriev truli integr part one search system integr system mani degre freedom like number imag display imag size differ visual mode possibl feedback mode find optim valu use user studi unfeas therefor develop scenario task user action simul optim base object constraint evalu criterion manner degre freedom reduc remain degre evalu user studi paper present system integr advanc similar base visual activ learn perform extens scenario base experiment interact categori search task result show inde use advanc visual activ learn pay,Negative
95,current technolog era artifici intellig becom increasingli popular machin learn branch ai take charg everi field healthcar stock market autom robot imag process current scenario machin learn andor deep learn becom popular medic scienc diseas predict much research underway form diseas predict model machin learn ensur perform accuraci machin learn model import keep basic thing mind train machin learn model sever issu must rectifi durat train model learn model work effici model select paramet tune dataset split crossvalid biasvari tradeoff overfit underfit overfit two main issu affect machin learn model research paper mainli focus minim andor prevent problem overfit underfit machin learn model,Positive
96,summari background intensivecar unit icu treat critic ill patient complic heterogen diseas encount sever score base mainli acut physiolog measur collect icu admiss use predict mortal nonspecif predict individu patient inaccur investig whether inclus longterm diseas histori icu admiss improv mortal predict method registri data longterm diseas histori danish icu patient use neural network develop icu mortal predict model longterm diseas histori acut physiolog measur aggreg predict mortal risk patient registri icu electron patient record data avail compar mortal predict admiss score simplifi acut physiolog score sap ii acut physiolog assess chronic health evalu apach ii best avail multimorbid score multimorbid index extern valid set addit hospit acquir model construct confirm valid model initi model develop data split train set independ test set fivefold crossvalid done train avoid overfit neural network train dataset diseas histori month month month year year year year year year icu admiss find mortal predict model base sole diseas histori outperform multimorbid index matthew correl coeffici v perform similarli sap ii apach ii matthew correl coeffici diseas histori age sex v sap ii apach ii respect diagnos year icu admiss affect current mortal predict aggreg previou diseas histori acut physiolog measur neural network yield precis predict inhospit mortal matthew correl coeffici inhospit mortal compar sap ii apach ii result aggreg model valid extern independ dataset patient matthew correl coeffici predict inhospit mortal interpret longitudin diseasespectrumwid data avail icu admiss use mortal predict diseas histori use differenti mortal risk patient similar vital sign precis sap ii apach ii score machin learn model deconvolut gener novel understand icu patient featur longterm shortterm event interact explain machin learn model key clinic set result emphasis progress toward transform advanc model action transpar trustworthi clinic tool,Negative
97,recent advanc artifici intellig ai led develop innov person intellig assist googl home siri despit technolog stride integr establish design framework user experi ux principl usercentr ai applic remain insuffici explor studi util design think methodologyemphas empathi ideat prototyp testingand exist ux law develop timesync aibas smart time manag applic univers student thailand timesync employ machin learn model custom schedul alarm incorpor variabl prepar time weather traffic condit ensur user arriv time usabl test base specif user satisfact usabl metric reveal timesync offer intuit interfac enhanc user experi promot consist util effect time manag find demonstr signific potenti design think ux principl craft usercentr ai applic provid valuabl insight robust framework futur ai develop,Negative
98,although phase separ ubiquit phenomenon interact multipl compon make difficult accur model predict recent year machin learn wide use physic simul present physic informationenhanc graph neural network pienet simul predict evolut phase separ accuraci model predict particl posit improv compar cnn svm respect moreov design order paramet base local densiti measur evolut phase separ analyz systemat chang differ repuls coeffici differ schmidt number result demonstr model achiev longterm accur predict order paramet without requir complex handcraft featur result prove graph neural network becom new tool method predict structur properti complex physic system,Negative
99,biomimet affer nervou system an signific transport extern stimulus intellig robot howev still far bionic due tradit multisensor singlecognit strategi herein flexibl biomimet an multimod fuzzi percept brainlik cognit develop fuse ion migrationmodul mxene synaps machin learn ml first elementari perceptu abil mimic biolog neuroreceptor demonstr motion artifact ionic conduct elastom ice current elimin furthermor multimod percept brainlik cognit accomplish synapt current sc nine ml algorithm final cognit materi gestur motion conduct distribut an devic across bodi joint optim ml method accuraci reach respect synapsebas an may provid new idea develop nextgener neuromorph intellig robot,Positive
100,abstract long noncod rna lncrna play essenti role nearli everi biolog process diseas mani algorithm develop distinguish lncrna mrna transcriptom data facilit discoveri lncrna howev tini fraction lncrna transcript valid lowthroughput experi evlncrna given cost laborintens natur experiment valid necessari develop comput tool priorit potenti function lncrna mani lncrna highthroughput sequenc htlncrna could result transcript nois employ deep learn algorithm separ evlncrna htlncrna mrna overcom challeng small dataset employ threelay deeplearn neural network dnn kmer featur input small convolut neural network cnn onehot encod input three separ model train human h mous plant p respect final concaten model evlncrnadpr h evlncrnadpr evlncrnadpr p provid substanti improv previou model base supportvectormachin evlncrnapr exampl evlncrnadpr h achiev area receiveroper characterist curv compar given sequencebas evlncrnapr model model develop use screen lncrna transcript experiment valid evlncrnadpr avail web server httpswwwsdklabbiophysicsdzunetevlncrnadpredindexhtml data sourc code freeli avail along web server,Negative
101,classif manufactur process process pas inlin test process fail inlin test challeng research problem manufactur process data character mani featur correspond differ step manufactur process research articl propos method manufactur process classif perform use support vector machin svm algorithm regular paramet valu gamma coeffici valu svm algorithm optim use hors optim algorithm hoa hoa base svm result compar particl swarm optim pso base svm result chicken swarm optim cso base svm result data use experi open sourc public dataset secom,Negative
102,ignor everyth known code best way write program competit program problem repres challeng task even skill programm given short natur languag descript algorithm problem contest must quickli write program solv task page issu li et al present alphacod system repres substanti step forward develop machin learn ml model synthes comput program solv type challeng problem perhap surpris system alphacod alphacod contain explicit builtin knowledg structur comput code instead alphacod reli pure datadriven approach write code learn structur comput program simpli observ lot exist code,Positive
103,analysi extract use inform legal judgment use comput linguist one earliest problem pose domain inform retriev present sever commerci vendor exist autom task howev crucial bottleneck aris form exorbit price lack resourc avail analysi judgement mete hong kong legal system paper attempt bridg gap provid sever statist machin learn deep learn zeroshot learn base method effect analyz legal judgment hong kong court system method propos consist citat network graph gener pagerank algorithm keyword analysi summar sentiment polar paragrah classif order abl extract key insight individu well group judgment togeth would make overal analysi judgment hong kong less tediou autom order extract insight quickli use fast inferenc also provid analysi result benchmark result use larg languag model make robust use huggingfac ecosystem,Negative
104,work use machin learn ml techniqu learn cpu timeslic util behavior known program linux system learn done analysi certain static dynam attribut process run object discov import static dynam attribut process help best predict cpu burst time minim process tat turnaroundtim experiment modifi linux kernel schedul version allow schedul custom time slice waikato environ knowledg analysi weka open sourc machinelearn tool use find suitabl ml method character program experiment find c decis tree algorithm effect solv problem find predict schedul could reduc tat rang due reduct number context switch need complet process execut find result interest context gener oper system present never make use program previou execut histori schedul behavior,Positive
105,visionbas vibrat measur technolog receiv extens attent due advantag noncontact high spatial resolut noload effect howev complex measur object measur task exist visual measur technolog gradual show greater limit specif due uncertainti actual work condit pixel field view measur vibrat therefor select measur point need reli prior structur inform artifici experi frequent manual point select test bring lot resourc consumpt greatli reduc autom degre visual vibrat measur paper focus intellig area local method vibrat measur rotat machin vision design deep learningbas vibrat measur area local framework directli feedback reliabl measur pixel imag data call vmal framework firstli subpixel physic featur inform associ vibrat data analyz unsupervis imag decomposit network regular region local network use cluster output reliabl region pixel experiment result medium singlespan rotor platform verifi effect propos method,Positive
106,extract style handwrit challeng problem sinc style well defin key compon develop system person experi human paper propos baselin benchmark order set anchor estim rel qualiti differ handwrit style method done use deep learn techniqu shown remark result differ machin learn task learn classif regress relev work gener tempor sequenc discus challeng associ evalu method relat evalu gener model gener propos evalu metric find relev problem discus evalu perform metric studi use ironoff dataset best knowledg exist benchmark evalu metric task exit yet dataset use context handwrit synthesi,Positive
